Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Non-Failure,Temperature difference [K],Power [W],Strain [minNm]
M,297.5,308.9,1535,37.7,12,0,0,0,0,0,0,1,11.399999999999977,6060.079861972501,452.40000000000003
L,297.5,308.9,1466,43.0,15,0,0,0,0,0,0,1,11.399999999999977,6601.32391569,645.0
L,297.5,308.9,1427,50.4,17,0,0,0,0,0,0,1,11.399999999999977,7531.528555404,856.8
M,297.5,308.9,1280,48.5,19,0,0,0,0,0,0,1,11.399999999999977,6501.0023904,921.5
L,297.6,309.0,1528,33.8,22,0,0,0,0,0,0,1,11.399999999999977,5408.398354632,743.5999999999999
H,297.6,309.0,1885,25.2,24,0,0,0,0,0,0,1,11.399999999999977,4974.39780201,604.8
H,297.8,309.2,1648,33.0,29,0,0,0,0,0,0,1,11.399999999999977,5695.07915592,957.0
L,297.8,309.2,1400,56.9,34,0,0,0,0,0,0,1,11.399999999999977,8341.9756833,1934.6
M,297.8,309.3,2243,15.7,36,0,0,0,0,0,0,1,11.5,3687.7166443005,565.1999999999999
L,297.9,309.4,1558,35.7,39,0,0,0,0,0,0,1,11.5,5824.575604953,1392.3000000000002
L,298.0,309.6,1633,34.8,41,0,0,0,0,0,0,1,11.600000000000023,5951.056125042,1426.8
M,298.1,309.6,1549,38.7,43,0,0,0,0,0,0,1,11.5,6277.5618491565,1664.1000000000001
L,298.0,309.5,1496,45.8,46,0,0,0,0,0,0,1,11.5,7175.062509384,2106.7999999999997
L,298.1,309.5,1467,41.8,48,0,0,0,0,0,0,1,11.399999999999977,6421.478208453,2006.3999999999999
M,298.0,309.4,1276,65.9,50,0,0,0,0,0,0,1,11.399999999999977,8805.716646342,3295.0000000000005
H,298.0,309.4,1490,40.5,53,0,0,0,0,0,0,1,11.399999999999977,6319.313615475,2146.5
H,298.0,309.4,1562,38.1,58,0,0,0,0,0,0,1,11.399999999999977,6232.103003511001,2209.8
L,298.1,309.4,1397,48.2,63,0,0,0,0,0,0,1,11.299999999999955,7051.346590827001,3036.6000000000004
H,298.1,309.5,1530,40.2,65,0,0,0,0,0,0,1,11.399999999999977,6440.893251030001,2613.0
M,298.1,309.4,1362,47.6,70,0,0,0,0,0,0,1,11.299999999999955,6789.107380356,3332.0
M,298.2,309.4,1693,34.4,73,0,0,0,0,0,0,1,11.199999999999989,6098.794755395999,2511.2
M,298.2,309.4,1408,46.5,76,0,0,0,0,0,0,1,11.199999999999989,6856.2117993599995,3534.0
L,298.2,309.4,1398,52.9,79,0,0,0,0,0,0,1,11.199999999999989,7744.465705221,4179.099999999999
M,298.3,309.6,1531,40.1,81,0,0,0,0,0,0,1,11.300000000000011,6429.0703906905,3248.1
H,298.3,309.5,1521,37.1,84,0,0,0,0,0,0,1,11.199999999999989,5909.2415268705,3116.4
H,298.3,309.5,1427,54.3,89,0,0,0,0,0,0,1,11.199999999999989,8114.325407905499,4832.7
L,298.3,309.4,1546,36.1,94,0,0,0,0,0,0,1,11.099999999999966,5844.472358403001,3393.4
L,298.3,309.4,1356,45.4,96,0,0,0,0,0,0,1,11.099999999999966,6446.799445212,4358.4
L,298.4,309.5,2153,15.3,98,1,0,0,1,0,0,0,11.100000000000023,3449.5629774795,1499.4
M,298.5,309.6,1492,41.7,100,0,0,0,0,0,0,1,11.100000000000023,6515.286164982,4170.0
L,298.5,309.6,1582,40.3,103,0,0,0,0,0,0,1,11.100000000000023,6676.366092122999,4150.9
L,298.5,309.6,1419,41.5,105,0,0,0,0,0,0,1,11.100000000000023,6166.7892923174995,4357.5
M,298.5,309.6,1441,48.2,107,0,0,0,0,0,0,1,11.100000000000023,7273.4362472309995,5157.400000000001
M,298.6,309.7,1635,32.2,110,0,0,0,0,0,0,1,11.099999999999966,5513.180941485,3542.0000000000005
L,298.6,309.7,1429,45.8,113,0,0,0,0,0,0,1,11.099999999999966,6853.719469191,5175.4
M,298.6,309.7,1675,28.4,115,0,0,0,0,0,0,1,11.099999999999966,4981.51874535,3266.0
M,298.7,309.7,1868,23.8,118,0,0,0,0,0,0,1,11.0,4655.6727556920005,2808.4
H,298.7,309.8,1582,33.4,121,0,0,0,0,0,0,1,11.100000000000023,5533.266190494,4041.3999999999996
L,298.8,309.9,1486,40.3,126,0,0,0,0,0,0,1,11.099999999999966,6271.226303979,5077.799999999999
L,298.7,309.8,1402,54.3,128,0,0,0,0,0,0,1,11.100000000000023,7972.168340492999,6950.4
L,298.7,309.9,1621,34.1,130,0,0,0,0,0,0,1,11.199999999999989,5788.499649355501,4433.0
L,298.8,309.9,1428,42.4,132,0,0,0,0,0,0,1,11.099999999999966,6340.4879499359995,5596.8
M,298.7,309.8,1343,53.6,134,0,0,0,0,0,0,1,11.100000000000023,7538.2306197240005,7182.400000000001
M,298.7,309.9,1458,40.2,137,0,0,0,0,0,0,1,11.199999999999989,6137.792392158,5507.400000000001
L,298.7,309.8,1322,57.0,140,0,0,0,0,0,0,1,11.100000000000023,7891.05241827,7980.0
L,298.7,309.9,1483,32.8,142,0,0,0,0,0,0,1,11.199999999999989,5093.820210611999,4657.599999999999
L,298.6,309.8,1505,45.7,144,0,0,0,0,0,1,0,11.199999999999989,7202.4676692675,6580.8
L,298.7,309.9,1593,42.5,146,0,0,0,0,0,0,1,11.199999999999989,7089.7892128875,6205.0
L,298.8,310.0,2098,19.6,148,0,0,0,0,0,0,1,11.199999999999989,4306.160101404,2900.8
L,298.8,310.0,1672,30.4,150,0,0,0,0,0,0,1,11.199999999999989,5322.779482943999,4560.0
L,298.8,310.0,1487,41.4,152,0,0,0,0,0,0,1,11.199999999999989,6446.736613358999,6292.8
L,298.8,310.0,1423,42.1,154,0,0,0,0,0,0,1,11.199999999999989,6273.5824984665005,6483.400000000001
L,298.9,310.1,1750,25.0,156,0,0,0,0,0,0,1,11.200000000000045,4581.48928125,3900.0
L,298.9,310.2,1654,31.1,158,0,0,0,0,0,0,1,11.300000000000011,5386.721365347,4913.8
L,298.9,310.2,1498,50.2,160,0,0,0,0,0,0,1,11.300000000000011,7874.883688098001,8032.0
L,298.9,310.1,1587,30.2,162,0,0,0,0,0,0,1,11.200000000000045,5018.945585787,4892.4
L,298.9,310.1,1473,42.6,164,0,0,0,0,0,0,1,11.200000000000045,6571.143682299,6986.400000000001
L,298.9,310.2,1359,56.9,166,0,0,0,0,0,0,1,11.300000000000011,8097.674966860499,9445.4
M,299.0,310.3,1635,34.5,168,0,0,0,0,0,0,1,11.300000000000011,5906.9795801625,5796.0
L,299.0,310.3,1520,45.0,171,0,0,0,0,0,0,1,11.300000000000011,7162.831242,7695.0
L,299.0,310.3,1507,36.7,173,0,0,0,0,0,0,1,11.300000000000011,5791.7250178095,6349.1
L,299.0,310.3,1428,46.3,175,0,0,0,0,0,0,1,11.300000000000011,6923.6932094819995,8102.499999999999
M,299.0,310.3,1582,33.3,177,0,0,0,0,0,0,1,11.300000000000011,5516.699525253,5894.099999999999
L,299.0,310.3,1929,24.4,180,0,0,0,0,0,0,1,11.300000000000011,4928.907540438,4392.0
M,299.0,310.3,1540,38.1,182,0,0,0,0,0,0,1,11.300000000000011,6144.326904869999,6934.2
L,298.9,310.2,1362,53.0,185,0,0,0,0,0,0,1,11.300000000000011,7559.30023443,9805.0
H,298.9,310.1,1452,49.9,187,0,0,0,0,0,0,1,11.200000000000045,7587.448904574,9331.3
L,298.9,310.1,1361,51.7,192,0,0,0,0,0,0,1,11.200000000000045,7368.469424893499,9926.400000000001
M,298.8,310.1,1243,74.5,194,1,0,0,1,1,0,0,11.300000000000011,9697.4158321425,14453.0
H,298.8,310.1,1567,36.8,197,0,0,0,0,0,0,1,11.300000000000011,6038.727503927999,7249.599999999999
L,298.9,310.2,1411,46.5,202,0,0,0,0,0,0,1,11.300000000000011,6870.8202051825,9393.0
L,298.8,310.2,1814,26.8,204,0,0,0,0,0,0,1,11.399999999999977,5090.971833276,5467.2
M,298.8,310.1,1719,28.8,206,0,0,0,0,0,0,1,11.300000000000011,5184.381854736001,5932.8
H,298.8,310.2,1663,30.4,209,0,0,0,0,0,0,1,11.399999999999977,5294.128157976,6353.599999999999
L,298.9,310.2,1696,30.2,214,0,0,0,0,0,0,1,11.300000000000011,5363.662075296,6462.8
H,298.9,310.2,1771,26.8,216,0,0,0,0,0,0,1,11.300000000000011,4970.292787614,5788.8
L,299.0,310.3,1868,24.0,221,0,0,0,0,0,0,1,11.300000000000011,4694.79605616,5304.0
M,299.0,310.3,1558,35.4,223,0,0,0,0,0,0,1,11.300000000000011,5775.6295914659995,7894.2
L,299.0,310.4,1365,49.1,226,1,0,0,0,1,0,0,11.399999999999977,7018.4750597325,11096.6
L,299.0,310.4,1371,53.8,228,1,0,0,0,1,0,0,11.399999999999977,7724.108184849,12266.4
L,298.9,310.3,1583,32.6,230,0,0,0,0,0,0,1,11.400000000000034,5404.146732579,7498.0
H,298.7,310.2,1613,36.0,0,0,0,0,0,0,0,1,11.5,6080.86673334,0.0
L,298.6,310.1,1721,27.2,5,0,0,0,0,0,0,1,11.5,4902.057395256,136.0
M,298.6,310.2,1668,31.5,7,0,0,0,0,0,0,1,11.599999999999966,5502.18536721,220.5
L,298.6,310.2,1569,36.3,10,0,0,0,0,0,0,1,11.599999999999966,5964.2822300985,363.0
M,298.6,310.2,1328,50.5,12,0,0,0,0,0,0,1,11.599999999999966,7022.92564932,606.0
M,298.6,310.1,1596,33.0,15,0,0,0,0,0,0,1,11.5,5515.38005634,495.0
L,298.5,310.2,1676,32.7,18,0,0,0,0,0,0,1,11.699999999999989,5739.187116726001,588.6
L,298.5,310.1,1809,28.9,20,0,0,0,0,0,0,1,11.600000000000023,5474.759263375499,578.0
L,298.5,310.0,1804,26.1,22,0,0,0,0,0,0,1,11.5,4930.666832322,574.2
L,298.6,310.1,1533,33.9,24,0,0,0,0,0,0,1,11.5,5442.1495316685,813.5999999999999
L,298.7,310.2,1717,27.3,26,0,0,0,0,0,0,1,11.5,4908.6442678455,709.8000000000001
L,298.7,310.2,1363,45.5,28,0,0,0,0,0,0,1,11.5,6494.3526859574995,1274.0
L,298.7,310.2,1402,45.9,30,0,0,0,0,0,0,1,11.5,6738.904729808999,1377.0
L,298.7,310.2,1436,47.5,32,0,0,0,0,0,0,1,11.5,7142.9344885499995,1520.0
L,298.7,310.2,1525,43.7,34,0,0,0,0,0,0,1,11.5,6978.7862725875,1485.8000000000002
M,298.7,310.2,1598,33.3,36,0,0,0,0,0,0,1,11.5,5572.494210716999,1198.8
M,298.6,310.1,1444,48.1,39,0,0,0,0,0,0,1,11.5,7273.457191182,1875.9
L,298.6,310.0,1334,48.0,42,0,0,0,0,0,0,1,11.399999999999977,6705.41535216,2016.0
M,298.6,310.0,1681,35.5,44,0,0,0,0,0,0,1,11.399999999999977,6249.2037395025,1562.0
L,298.6,309.9,1593,37.4,47,0,0,0,0,0,0,1,11.299999999999955,6239.014507340999,1757.8
L,298.6,309.9,1461,45.7,49,0,0,0,0,0,0,1,11.299999999999955,6991.8971859135,2239.3
M,298.7,310.1,1693,31.9,51,0,0,0,0,0,0,1,11.400000000000034,5655.568392358499,1626.8999999999999
L,298.7,310.2,1404,50.3,54,0,0,0,0,0,0,1,11.5,7395.434761805999,2716.2
H,298.8,310.2,1707,27.6,56,0,0,0,0,0,0,1,11.399999999999977,4933.682761266,1545.6000000000001
M,298.6,310.1,1458,41.9,61,0,0,0,0,0,0,1,11.5,6397.350776900999,2555.9
L,298.6,310.0,1517,41.2,64,0,0,0,0,0,0,1,11.399999999999977,6545.026575402,2636.8
L,298.7,310.1,1433,54.6,66,0,0,0,0,0,0,1,11.400000000000034,8193.462126759001,3603.6
L,298.7,310.2,1566,33.1,68,0,0,0,0,0,0,1,11.5,5428.106612523001,2250.8
L,298.7,310.1,1676,33.5,70,0,0,0,0,0,0,1,11.400000000000034,5879.59536423,2345.0
M,298.7,310.1,1368,56.8,72,0,0,0,0,0,0,1,11.400000000000034,8136.976290911999,4089.6
M,298.8,310.2,1581,37.5,75,0,0,0,0,0,0,1,11.399999999999977,6208.5724745625,2812.5
H,298.8,310.3,1708,27.1,78,0,0,0,0,0,0,1,11.5,4847.142355734,2113.8
M,298.7,310.3,1481,41.5,83,0,0,0,0,0,0,1,11.600000000000023,6436.2332219325,3444.5
L,298.7,310.3,1451,40.0,86,0,0,0,0,0,0,1,11.600000000000023,6077.9345802,3440.0
M,298.7,310.3,1495,38.7,88,0,0,0,0,0,0,1,11.600000000000023,6058.718505157501,3405.6000000000004
M,298.8,310.3,1573,41.8,91,0,0,0,0,0,0,1,11.5,6885.470498907,3803.7999999999997
M,298.8,310.3,1366,59.0,94,0,0,0,0,0,0,1,11.5,8439.78393447,5546.0
L,298.8,310.3,1553,36.8,97,0,0,0,0,0,0,1,11.5,5984.775886152,3569.6
M,298.8,310.3,1528,37.1,99,0,0,0,0,0,0,1,11.5,5936.437247244,3672.9
M,298.8,310.2,1527,31.2,102,0,0,0,0,0,0,1,11.399999999999977,4989.100455612,3182.4
L,298.8,310.2,1461,46.7,105,0,0,0,0,0,0,1,11.399999999999977,7144.8927479685,4903.5
H,298.8,310.2,1455,44.9,107,0,0,0,0,0,0,1,11.399999999999977,6841.2892342725,4804.3
L,298.7,310.1,1620,34.8,112,0,0,0,0,0,0,1,11.400000000000034,5903.680907879999,3897.5999999999995
L,298.7,310.1,1786,27.7,114,0,0,0,0,0,0,1,11.400000000000034,5180.716663310999,3157.7999999999997
M,298.8,310.2,1583,35.7,116,0,0,0,0,0,0,1,11.399999999999977,5918.0379862905,4141.200000000001
L,298.8,310.1,1653,30.3,119,0,0,0,0,0,0,1,11.300000000000011,5244.9831769545,3605.7000000000003
M,298.9,310.2,1331,49.0,121,0,0,0,0,0,0,1,11.300000000000011,6829.717701345,5929.0
L,298.9,310.3,1484,43.8,124,0,0,0,0,0,0,1,11.400000000000034,6806.700299196,5431.2
M,298.9,310.2,1603,36.1,126,0,0,0,0,0,0,1,11.300000000000011,6059.9541982665005,4548.6
L,298.9,310.2,1445,40.0,129,0,0,0,0,0,0,1,11.300000000000011,6052.801839,5160.0
L,298.9,310.1,1823,26.1,131,0,0,0,0,0,0,1,11.200000000000045,4982.597358826501,3419.1000000000004
H,298.9,310.1,1491,45.3,133,0,0,0,0,0,0,1,11.200000000000045,7073.0131081365,6024.9
L,298.9,310.2,1533,42.8,138,0,0,0,0,0,0,1,11.300000000000011,6870.914452961999,5906.4
L,298.9,310.2,1409,54.8,140,0,0,0,0,0,0,1,11.300000000000011,8085.747386765999,7672.0
L,298.9,310.2,2737,8.8,142,1,0,0,1,0,0,0,11.300000000000011,2522.238131028,1249.6000000000001
M,299.0,310.3,1494,46.6,144,0,0,0,0,0,0,1,11.300000000000011,7290.631231002001,6710.400000000001
L,299.1,310.4,1594,33.3,147,0,0,0,0,0,0,1,11.299999999999955,5558.545539350999,4895.099999999999
L,299.1,310.4,1527,44.0,149,0,0,0,0,0,0,1,11.299999999999955,7035.91089894,6556.0
L,299.1,310.4,1452,39.7,151,0,0,0,0,0,0,1,11.299999999999955,6036.507445122,5994.700000000001
L,299.0,310.3,1483,39.2,153,0,0,0,0,0,0,1,11.300000000000011,6087.736349268001,5997.6
L,299.1,310.2,1569,38.2,155,0,0,0,0,0,0,1,11.099999999999966,6276.462291729,5921.0
L,299.1,310.3,1472,46.6,157,0,0,0,0,0,0,1,11.199999999999989,7183.272538175999,7316.2
L,299.0,310.2,1533,43.5,159,0,0,0,0,0,0,1,11.199999999999989,6983.2892220525,6916.5
H,298.9,310.1,1366,62.7,161,0,0,0,0,0,0,1,11.200000000000045,8969.058520191,10094.7
H,298.9,310.2,1532,37.7,166,0,0,0,0,0,0,1,11.300000000000011,6048.236057682,6258.200000000001
M,298.9,310.1,1313,56.8,171,0,0,0,0,0,0,1,11.200000000000045,7809.831776292,9712.8
L,299.0,310.2,1372,48.0,174,0,0,0,0,0,0,1,11.199999999999989,6896.42418528,8352.0
M,298.9,310.1,1555,40.6,176,0,0,0,0,0,0,1,11.200000000000045,6611.272292415,7145.6
L,298.9,310.1,1394,42.7,179,0,0,0,0,0,0,1,11.200000000000045,6233.317752669001,7643.3
L,298.9,310.1,1442,48.0,181,0,0,0,0,0,0,1,11.200000000000045,7248.2825620799995,8688.0
L,298.9,310.0,1564,33.8,183,0,0,0,0,0,0,1,11.100000000000023,5535.821352516,6185.4
L,298.9,310.0,1452,48.9,185,0,0,0,0,0,0,1,11.100000000000023,7435.395820314,9046.5
L,298.9,310.1,1466,42.5,187,0,0,0,0,0,0,1,11.200000000000045,6524.564335275,7947.5
M,298.9,310.1,1469,53.2,189,0,0,0,0,0,0,1,11.200000000000045,8183.932629054,10054.800000000001
L,298.9,310.1,1944,23.4,192,0,0,0,0,0,0,1,11.200000000000045,4763.659767048,4492.799999999999
M,298.8,309.9,1415,53.2,194,0,0,0,0,0,0,1,11.099999999999966,7883.09371689,10320.800000000001
M,298.7,309.8,1528,36.7,197,0,0,0,0,0,0,1,11.100000000000023,5872.432532988,7229.900000000001
M,298.7,309.8,1570,42.1,200,0,0,0,0,0,0,1,11.100000000000023,6921.661646235,8420.0
L,298.7,309.9,1617,33.0,203,0,0,0,0,0,0,1,11.199999999999989,5587.950846555,6699.0
M,298.7,309.9,2083,18.2,205,0,0,0,0,0,0,1,11.199999999999989,3969.988743903,3731.0
L,298.7,309.9,1541,38.5,208,0,0,0,0,0,0,1,11.199999999999989,6212.8659845175,8008.0
L,298.8,309.9,1320,47.4,210,0,0,0,0,0,0,1,11.099999999999966,6552.10563084,9954.0
L,298.7,309.8,1354,53.3,212,1,0,0,0,1,0,0,11.100000000000023,7557.436222791,11299.599999999999
M,298.8,309.9,1495,35.2,214,0,0,0,0,0,0,1,11.099999999999966,5510.7723871200005,7532.8
L,298.7,309.8,1589,31.8,217,0,0,0,0,0,0,1,11.100000000000023,5291.510164101001,6900.6
L,298.7,309.8,1530,35.5,0,0,0,0,0,0,0,1,11.100000000000023,5687.853492825,0.0
L,298.7,309.8,1539,33.4,2,0,0,0,0,0,0,1,11.100000000000023,5382.867678363,66.8
L,298.7,309.7,1462,46.8,4,0,0,0,0,0,0,1,11.0,7165.093188707999,187.2
L,298.6,309.7,1356,54.0,6,0,0,0,0,0,0,1,11.099999999999966,7667.99934012,324.0
M,298.7,309.7,1622,34.6,8,0,0,0,0,0,0,1,11.0,5876.998314306,276.8
L,298.7,309.8,1394,40.3,11,0,0,0,0,0,0,1,11.100000000000023,5882.967340341,443.29999999999995
L,298.8,309.9,1568,33.7,13,0,0,0,0,0,0,1,11.099999999999966,5533.5594058080005,438.1
M,298.9,310.0,1456,43.8,15,0,0,0,0,0,0,1,11.100000000000023,6678.271991663999,657.0
L,298.9,310.0,1378,49.3,18,0,0,0,0,0,0,1,11.100000000000023,7114.178443827,887.4
M,298.9,309.9,1404,41.4,20,0,0,0,0,0,0,1,11.0,6086.8985912279995,828.0
L,298.8,309.8,1437,42.8,23,0,0,0,0,0,0,1,11.0,6440.641923618,984.4
L,298.8,309.8,1363,44.0,25,0,0,0,0,0,0,1,11.0,6280.25314686,1100.0
M,298.8,309.8,1377,49.6,27,0,0,0,0,0,0,1,11.0,7152.275490696,1339.2
H,298.8,309.9,1526,42.1,30,0,0,0,0,0,0,1,11.099999999999966,6727.678772073,1263.0
H,298.8,309.8,1510,44.2,35,0,0,0,0,0,0,1,11.0,6989.20588821,1547.0
H,298.8,309.9,1439,45.2,40,1,0,0,0,0,0,1,11.099999999999966,6811.266080514,1808.0
L,298.8,309.9,1482,39.1,45,0,0,0,0,0,0,1,11.099999999999966,6068.111867181,1759.5
M,298.8,309.8,1534,37.0,47,0,0,0,0,0,0,1,11.0,5943.6838542899995,1739.0
M,298.8,309.9,1741,27.7,50,0,0,0,0,0,0,1,11.099999999999966,5050.183488703499,1385.0
L,298.8,309.9,1550,38.8,53,0,0,0,0,0,0,1,11.099999999999966,6297.846065699999,2056.3999999999996
M,298.8,310.0,1486,38.5,55,0,0,0,0,0,0,1,11.199999999999989,5991.121903305,2117.5
L,298.9,310.1,1602,38.2,58,0,0,0,0,0,0,1,11.200000000000045,6408.472014882,2215.6000000000004
L,299.0,310.2,1477,37.9,60,0,0,0,0,0,0,1,11.199999999999989,5862.0338613164995,2274.0
L,299.0,310.1,1618,29.2,62,0,0,0,0,0,0,1,11.100000000000023,4947.547656828,1810.3999999999999
M,299.0,310.2,1628,35.8,64,0,0,0,0,0,0,1,11.199999999999989,6103.318648811999,2291.2
M,299.0,310.3,1662,33.6,67,0,0,0,0,0,0,1,11.300000000000011,5847.886222416,2251.2000000000003
M,299.0,310.3,1657,31.0,70,0,0,0,0,0,0,1,11.300000000000011,5379.1396550849995,2170.0
H,299.0,310.4,1677,30.8,73,0,0,0,0,0,0,1,11.399999999999977,5408.942897358,2248.4
M,299.0,310.3,1447,39.9,78,0,0,0,0,0,0,1,11.300000000000011,6046.0264708515,3112.2
L,298.9,310.4,1831,25.4,81,0,0,0,0,0,0,1,11.5,4870.243533686999,2057.4
L,299.0,310.3,1584,34.4,83,0,0,0,0,0,0,1,11.300000000000011,5706.137562047999,2855.2
L,299.1,310.4,1450,40.9,85,0,0,0,0,0,0,1,11.299999999999955,6210.405070275,3476.5
L,299.1,310.4,1428,46.9,87,0,0,0,0,0,0,1,11.299999999999955,7013.417095565999,4080.2999999999997
L,299.0,310.4,1382,53.0,89,0,0,0,0,0,0,1,11.399999999999977,7670.30317473,4717.0
L,299.0,310.3,1501,43.0,91,0,0,0,0,0,0,1,11.300000000000011,6758.927146965,3913.0
L,299.0,310.3,1475,42.4,93,0,0,0,0,0,0,1,11.300000000000011,6549.1734777,3943.2
L,298.9,310.3,1364,54.0,95,0,0,0,0,0,0,1,11.400000000000034,7713.23827428,5130.0
L,299.0,310.3,1472,36.1,97,0,0,0,0,0,0,1,11.300000000000011,5564.724004896,3501.7000000000003
L,299.0,310.3,1437,47.8,99,0,0,0,0,0,0,1,11.300000000000011,7193.053363292999,4732.2
L,298.9,310.2,1491,45.1,101,0,0,0,0,0,0,1,11.300000000000011,7041.7856771955,4555.1
L,298.9,310.2,1706,27.6,103,0,0,0,0,0,0,1,11.300000000000011,4930.792496028001,2842.8
L,298.8,310.1,1607,39.5,105,0,0,0,0,0,0,1,11.300000000000011,6647.2435282575,4147.5
L,298.8,310.0,1412,46.3,107,0,0,0,0,0,0,1,11.199999999999989,6846.116814978,4954.099999999999
L,298.7,309.8,1546,40.9,109,0,0,0,0,0,0,1,11.100000000000023,6621.5767163069995,4458.099999999999
L,298.7,309.8,1365,50.5,111,0,0,0,0,0,0,1,11.100000000000023,7218.5945115375,5605.5
L,298.6,309.8,1544,30.2,113,0,0,0,0,0,0,1,11.199999999999989,4882.956511943999,3412.6
M,298.6,309.8,1419,44.9,115,0,0,0,0,0,0,1,11.199999999999989,6672.0202222905,5163.5
L,298.6,309.8,1497,41.6,118,0,0,0,0,0,0,1,11.199999999999989,6521.443686576,4908.8
L,298.5,309.7,1437,42.6,120,0,0,0,0,0,0,1,11.199999999999989,6410.545466031001,5112.0
L,298.5,309.6,1421,53.6,122,0,0,0,0,0,0,1,11.100000000000023,7976.042971428001,6539.2
M,298.5,309.6,1438,44.5,124,0,0,0,0,0,0,1,11.100000000000023,6701.121842205,5518.0
M,298.5,309.5,1315,48.9,127,0,0,0,0,0,0,1,11.0,6733.8467656425,6210.3
M,298.5,309.5,1366,61.9,130,0,0,0,0,0,0,1,11.0,8854.620771926999,8047.0
M,298.4,309.5,1519,35.4,133,0,0,0,0,0,0,1,11.100000000000023,5631.053497713,4708.2
L,298.4,309.5,1692,28.3,136,0,0,0,0,0,0,1,11.100000000000023,5014.358860517999,3848.8
L,298.3,309.4,1570,35.6,138,0,0,0,0,0,0,1,11.099999999999966,5852.99654646,4912.8
L,298.3,309.4,1568,35.8,140,0,0,0,0,0,0,1,11.099999999999966,5878.380615071999,5012.0
L,298.2,309.3,1355,43.8,142,0,0,0,0,0,0,1,11.100000000000023,6215.012739495,6219.599999999999
M,298.2,309.3,2056,18.7,144,0,0,0,0,0,0,1,11.100000000000023,4026.1813644359995,2692.7999999999997
M,298.2,309.2,1332,60.2,147,0,0,0,0,0,0,1,11.0,8397.100162332,8849.4
M,298.1,309.1,1448,52.5,150,0,0,0,0,0,0,1,11.0,7960.795775099999,7875.0
L,298.0,308.9,1578,35.6,153,0,0,0,0,0,0,1,10.899999999999977,5882.820732684,5446.8
M,298.0,309.0,1562,39.2,155,0,0,0,0,0,0,1,11.0,6412.032486552,6076.0
M,298.1,309.0,1976,19.3,158,0,0,0,0,0,0,1,10.899999999999977,3993.6763524840003,3049.4
M,298.2,309.2,1524,34.6,161,0,0,0,0,0,0,1,11.0,5521.914569052,5570.6
L,298.2,309.1,1429,48.5,164,0,0,0,0,0,0,1,10.900000000000034,7257.759699907499,7954.0
L,298.2,309.1,1568,36.3,166,0,0,0,0,0,0,1,10.900000000000034,5960.480902991999,6025.799999999999
M,298.2,309.0,1723,26.6,168,0,0,0,0,0,0,1,10.800000000000011,4799.494867209,4468.8
L,298.2,309.0,1341,43.8,171,0,0,0,0,0,0,1,10.800000000000011,6150.798585729,7489.799999999999
M,298.1,308.9,1353,46.2,173,0,0,0,0,0,0,1,10.799999999999955,6545.885277393,7992.6
M,298.0,308.7,1479,58.5,176,1,0,0,1,0,0,0,10.699999999999989,9060.5102822325,10296.0
L,298.0,308.8,1496,44.9,179,0,0,0,0,0,0,1,10.800000000000011,7034.067831251999,8037.099999999999
M,298.0,308.7,1377,48.5,181,0,0,0,0,0,0,1,10.699999999999989,6993.6564777975,8778.5
H,297.9,308.5,1383,44.6,184,0,0,0,0,0,0,1,10.600000000000023,6459.302983959,8206.4
L,298.0,308.7,1268,69.4,189,1,0,0,1,1,0,0,10.699999999999989,9215.254664196002,13116.6
L,298.0,308.7,1629,34.3,191,0,0,0,0,0,0,1,10.699999999999989,5851.184894698499,6551.299999999999
L,298.0,308.8,1790,27.2,193,0,0,0,0,0,0,1,10.800000000000011,5098.59543144,5249.599999999999
M,298.1,308.8,2206,16.3,195,0,0,0,0,0,0,1,10.699999999999989,3765.492006339,3178.5
M,298.0,308.7,2101,17.4,198,0,0,0,0,0,0,1,10.699999999999989,3828.2819714369994,3445.2
M,298.0,308.7,1436,48.2,201,0,0,0,0,0,0,1,10.699999999999989,7248.198786276,9688.2
L,298.0,308.7,1462,48.2,204,0,0,0,0,0,0,1,10.699999999999989,7379.433583242001,9832.800000000001
L,298.0,308.7,1771,26.2,206,0,0,0,0,0,0,1,10.699999999999989,4859.017575950999,5397.2
L,298.0,308.7,1506,47.0,208,0,0,0,0,0,0,1,10.699999999999989,7412.27369841,9776.0
L,298.0,308.7,1626,36.7,210,0,0,0,0,0,0,1,10.699999999999989,6249.067603821,7707.000000000001
L,298.0,308.8,1610,33.7,212,0,0,0,0,0,0,1,10.800000000000011,5681.779747035001,7144.400000000001
M,298.0,308.6,1376,55.7,214,0,0,0,0,0,0,1,10.600000000000023,8026.057126416,11919.800000000001
M,298.0,308.6,1507,37.3,217,0,0,0,0,0,0,1,10.600000000000023,5886.4126202805,8094.099999999999
L,298.0,308.5,1429,37.7,220,1,1,0,0,0,0,0,10.5,5641.5987770415,8294.0
M,298.1,308.7,1547,38.9,0,0,0,0,0,0,0,1,10.599999999999966,6301.856832316499,0.0
L,298.1,308.7,1642,30.3,3,0,0,0,0,0,0,1,10.599999999999966,5210.080082613,90.9
H,298.0,308.7,1503,36.3,5,0,0,0,0,0,0,1,10.699999999999989,5713.394641069499,181.5
L,298.1,308.7,1568,32.9,10,0,0,0,0,0,0,1,10.599999999999966,5402.198945136,329.0
